No,Headline,Body,link
11,"PCOO Andanar, acting Malacañang spox na – P-Du30","ni Lolet Abania  |  March 8, 2022


Itinalaga ni Pangulong Rodrigo Duterte si Presidential Communications Operations Office (PCOO) Secretary Martin Andanar bilang acting presidential spokesperson, kapalit ni Karlo Nograles.

Ang appointment ni Andanar ay inilabas mula sa isang advisory ng Malacañang ngayong Martes ng umaga.

Gayundin, ang anunsiyo para sa appointment ni Andanar bilang acting presidential spokesperson ay iniulat isang araw matapos na si Nograles ay italaga naman at nanumpa bilang chairperson ng Civil Service Commission (CSC) kay Pangulong Duterte.

Isasagawa ni Andarar ang kanyang unang Palace briefing bilang interim spokesperson ngayong Martes kasama si National Economic and Development Authority (NEDA) Undersecretary Rosemarie Edillon.",https://www.bulgaronline.com/post/pcoo-andanar-acting-malaca%C3%B1ang-spox-na-p-du30
12,"Sec. Saidamen Pangarungan, itinalaga ni P-DU30 bilang chairman ng Comelec","ni Jasmin Joy Evangelista  |  March 8, 2022


Itinalaga ni Pangulong Rodrigo Duterte si National Commission on Muslim Filipinos (NCMF) Secretary Saidamen Pangarungan bilang bagong pinuno ng Commission on Elections.

Kinumpirma ni Palace Communications Secretary Martin Andanar sa isang press briefing ang appointment ni Pangarungan bilang ad interim Comelec chairman nitong Martes. 

Itinalaga rin ng pangulo sina Aimee Neri at George Garcia bilang bagong Comelec commissioners.

Si Neri  ay undersecretary ng Department of Social Welfare and Development (DSWD).

Si Garcia ay beteranong election lawyer.
Kabilang sa kanyang kasong hinwakan ay ang poll protest ni dating Senador Bongbong Marcos laban kay Vice President Leni Robredo noong 2016 national elections.

Si Garcia ay parte rin ng campaign team ni presidential candidate, Manila Mayor Isko Moreno Domagoso. Nag-resign na umano ito noong Lunes. 

Samantala, si Pangarungan ay abogado at dating gobernador ng Lanao del Sur province mula 1988 hanggang 1992, ayon sa NCMF website.

Bago pa man ang naganap na appointments, nag-o-operate ang Comelec na mayroon lamang 4 commisioners simula noong nakaraang buwan, matapos ang pagreretiro nina Antonio Kho, Rowena Guanzon, at Sheriff Abas.",https://www.bulgaronline.com/post/sec-pangarungan-bagong-comelec-chairman
13,"Mahigit 5.1 milyong doses ng Pfizer COVID-19 vaccine, dumating sa bansa","ni Jasmin Joy Evangelista  |  March 8, 2022


Mahigit 5.1 milyong doses ng US-made Pfizer COVID-19 ang dumating sa bansa nitong Lunes.

Naunang dumating ang 3,999,060 doses sa Ninoy Aquino International Airport (NAIA) bandang 12 p.m., ayon sa livestream ng state-run PTV. 

Ang mga naturang bakuna ay donasyon ng US government sa pamamagitan ng World Health Organization-led initiative COVAX facility.

Kasunod nito ay dumating naman ang 1,167,600 sa NAIA Terminal 3 bandang 9:45 p.m.

Ang mga bakunang ito ay binili naman ng gobyerno, ayon sa National Task Force against COVID-19.

Nitong Lunes, sinabi ni Secretary Carlito Galvez Jr. na nasa 232 million COVID-19 vaccine doses na ang nai-deliver sa Pilipinas simula 2021, kung saan 136 million dito ang naiturok na. 

Sa ngayon, ang Pilipinas ay nakapagtala na ng 63.6 million fully vaccinated adult individuals, at nasa 10.5 million naman ang nakatanggap na ng kanilang booster dose.

Nasa 8.5 million minors edad 12 hanggang 17 habang 900,000 bata edad 5 hanggang11 naman ang nakatanggap ng unang dose ng bakuna.

Gayunman, inihayag ni Galvez na mababa pa rin ang bilang ng mga Pilipino na nagpa-booster shot.",https://www.bulgaronline.com/post/mahigit-5-1-milyong-doses-ng-pfizer-covid-19-vaccine-dumating-sa-bansa
14,"Comelec gun ban violators umabot na sa 1,636 — PNP","ni Jasmin Joy Evangelista  |  March 8, 2022


Umabot na sa 1,636 ang naaresto sa paglabag sa Commission on Elections (Comelec) gun ban, ayon sa Philippine National Police (PNP) noong Linggo.

Kabilang sa mga nahuli ay 1,589 civilians, 23 security guards, 15 police officers, at 9 military personnel.

Sa isinagawang 1,516 police operation, nakakumpiska ng 1,268 firearms, 7,106 pieces ng ammunition, at 586 deadly weapons.

Batay sa datos ng PNP, ang top 5 regions na may pinakamaraming nahuling violator ay  National Capital Region (536), Central Visayas (171), Central Luzon (116), Calabarzon (173), at Western Visayas (93).

Ayon sa Comelec Resolution No. 10728c ipinagbabawal ang pagdadala, pagbitbit, o pag-transport ng mga firearms o deadly weapons sa labas ng tahanan at sa lahat ng pampublikong lugar mula Jan. 9 hanggang June 8.",https://www.bulgaronline.com/post/comelec-gun-ban-violators-umabot-na-sa-1-636-pnp
15,Bureau of Immigration balik-100% onsite workforce na,"ni Jasmin Joy Evangelista  |  March 8, 2022


Balik na sa 100% ang workforce ng Bureau of Immigration sa mga paliparan ng bansa bilang paghahanda sa posibleng pagdami ng mga biyahero.

Pahayag ni BI Port Operations division chief Carlos Capulong, ipinatupad na nila ang 100% onsite work capacity at bumalik na sila sa kanilang pre-pandemic shifting schedule dahil inaasahan nilang tataas ang bilang ng mga darating na pasahero sa mga susunod na linggo.

Ngayon ay nasa higit 9,000 na ang bilang ng mga pasahero mula sa higit 8,000 kada araw noong unang linggo na binuksan muli ang bansa sa ilang mga turista.

Inaasahan din umano ng BI na unti-unting tataas sa 10,000 hanggang 15,000 kada araw ang dagsa ng mga pasahero sa susunod na buwan.",https://www.bulgaronline.com/post/bureau-of-immigration-balik-100-onsite-workforce-na
16,"Karlo Nograles, bagong Civil Sevice Commission chairman","ni Lolet Abania  |  March 7, 2022


Itinalaga si Cabinet Secretary at acting presidential spokesman Karlo Nograles ni Pangulong Rodrigo Duterte bilang chairman ng Civil Service Commission ngayong Lunes. 

Makikita sa nai-share na larawan ng Malacañang si Nograles habang pinanunumpa ni Pangulong Duterte ngayong umaga. 

Ipinahayag naman ni Nograles sa mga reporters na lahat ng kanyang tatlong posisyon ay kasalukuyan nang nabakantehan: Cabinet Secretary, acting Malacañang spokesman, at co-chair ng Inter-Agency Task Force on Emerging Infectious Diseases (IATF).  

Pinalitan ni Nograles si Alicia dela Rosa-Bala, na in-appoint ni yumaong dating Pangulong Benigno Aquino III noong 2015. Noong Pebrero, natapos na ni Dela Rosa-Bala ang kanyang 7-taong termino.  

Batay sa Constitution, ang CSC chairperson ay mayroong fixed term na 7 taon na “without reappointment.”  

Noong Nobyembre ng nakaraang taon, itinalaga ni Pangulong Duterte si Nograles, na nagmula rin sa Davao, bilang kanyang acting spokesman, kapalit ni Harry Roque, na tumatakbo sa pagka-senador sa May elections.",https://www.bulgaronline.com/post/karlo-nograles-bagong-civil-sevice-commission-chairman
17,"Itinaas sa Alert Level 4.. Mandatory repatriation ng mga Pinoy sa Ukraine, ipapatupad — DFA","ni Lolet Abania  |  March 7, 2022


Itinaas na ng Department of Foreign Affairs (DFA) ngayong Lunes ang crisis alert level sa Ukraine sa Alert Level 4 habang tumitindi ang pananakop ng Russia sa naturang bansa. 

Sa ilalim ng Alert Level 4, ipapatupad ng DFA ang mandatory evacuation ng mga Pilipino sa Ukraine, kung saan gastos ito ng gobyerno. 

“Due to the rapidly deteriorating security situation in Ukraine, the Department of Foreign Affairs has raised the crisis alert level for all areas in Ukraine to Alert Level 4 (Mandatory Repatriation),” batay sa inilabas na pahayag ng DFA ngayong Lunes. 

Gayundin, ang mga Pinoy sa Ukraine ay aasistihan ng Philippine Embassy in Poland. 

“Filipinos in Ukraine will be assisted by the Philippine Embassy in Poland and the Rapid Response Team, which are currently assisting Filipino nationals for repatriation and relocation,” ayon sa DFA. Marami na ring Pilipino ang nakabalik na ng bansa habang ang iba ay nakuhang makatakas doon patungo sa kalapit na mga bansa. 

Una nang sinabi ng DFA na may nananatili pa na tinatayang 116 Pinoy sa Ukraine. Ayon kay DFA Undersecretary Sarah Arriola, hanggang nitong Huwebes, 93 Pilipino na ang umalis ng Ukraine mula sa 209 na naitalang bilang ng ahensiya. Aniya, may 45 Pinoy pa ang nananatili naman sa Kiev.",https://www.bulgaronline.com/post/itinaas-sa-alert-level-4-mandatory-repatriation-ng-mga-pinoy-sa-ukraine-ipapatupad-dfa
18,"Libreng sakay para sa mga babaeng pasahero ng LRT2, bukas   ","ni Lolet Abania  |  March 7, 2022


Libre ang sakay para sa mga pasaherong babae ng Light Rail Transit Line 2 (LRT-2) habang may special treats sa kanila bukas, Marso 8, kasabay ng pagdiriwang ng International Women’s Day.

Ang free ride ay magagamit ng mga female passengers sa peak hours, mula alas-7:00 ng umaga hanggang alas-9:00 ng umaga at alas-5:00 ng hapon hanggang alas-7:00 ng gabi sa anumang LRT-2 station.

Magsasagawa rin ang Department of Transportation (DOTr) at Light Rail Transit Authority (LRTA) katuwang din ang Philippine Red Cross-Marikina at Manila chapters ng blood typing test, blood pressure checking, at random blood sugar test sa Recto at Araneta Center-Cubao stations mula alas-8:00 ng umaga hanggang alas-5:00 ng hapon.

“These activities aim to honor and recognize the indispensable role of women in our society as well as reaffirm DOTR and LRTA’s commitment to gender equality and women empowerment,” sabi ni LRTA administrator Jeremy Regino.

Sinisiguro ng LRTA, sa pamamagitan ng Gender and Development Committee (GAD) nito, na may probisyon ng gender-responsive rail services para sa lahat ng mga mananakay sa pamamagitan ng kanilang mga proyekto, programa at mga serbisyo gaya ng pagsasagawa ng iba’t ibang pagsasanay na layong madagdagan ang kamalayan ng mga empleyadong babae sa kanilang mga karapatan at mabatid ang kanilang potensiyal bilang isang active agent ng societal change.

Ang 2022 National Women’s Month Celebration, na may temang “We Make Change Work for Women,” ay layong maipakita ang mga nakakamit at napagtagumpayan ng mga babae, at suriin ang mga ginagawang aksyon tungo sa gender equality, habang patuloy na isinusulong ang mga gawain para sa tinatawag na women empowerment.",https://www.bulgaronline.com/post/libreng-sakay-para-sa-mga-babaeng-pasahero-ng-lrt2-bukas
19,"Exams sa mga paaralan, pinaplano na ng DepEd  ","ni Lolet Abania  |  March 7, 2022


Pinag-iisipan na ng Department of Education (DepEd) na payagang magsagawa ng mga examinations sa mga paaralan sa gitna ng COVID-19 pandemic.

“Sa ngayon, inaayos pa natin ‘yung ating guidelines para po diyan. Pero bukod po sa mga klase, isa po sa tinitingnan natin na puwede ring gawin ngayon ay ‘yung pagsasagawa ng mga examination,” pahayag ni DepEd Assistant Secretary Malcolm Garma nang tanungin kung kinokonsidera ng DepEd na magsagawa ng graduation ceremonies sa mga campuses.

Binanggit din ni Garma bilang halimbawa ang pagkakaroon ng tinatawag na “large-scale assessments” gaya ng Programme for International Student Assessment (PISA).

“For example, ‘yung ating mga large-scale assessment katulad ng PISA o paglahok natin sa PISA. So ‘yan po ‘yung isa sa mga kinokonsidera na puwede na po nating gawin sa loob ng eskwelahan,” paliwanag ni Garma.

Nang tanungin naman hinggil sa timeline para rito ng DepEd, sinabi ni Garma na pinag-aaralan na nila ang mga iskedyul dahil by batch ginagawa ang naturang aktibidad, habang aniya, posibleng magsimula ito ng Marso.

Matatandaang noong 2020, ipinatupad ng DepEd ang distance learning dahil sa panganib ng COVID-19, kung saan hindi na kailangang magpunta ng mga estudyante sa mga campuses para ipagpatuloy ang kanilang pag-aaral. Sa nasabing setup, kailangan lamang ng mga estudyante na ma-accomplish at mag-submit ng learning modules o pumasok sa mga online classes.

Noong Nobyembre 2021, sinimulan ang pilot testing ng face-to-face classes sa mga piling paaralan sa maraming lugar sa bansa.

Nitong Linggo, inihayag ng DepEd na may 6,925 paaralan sa buong bansa ang handa nang mag-participate sa kanilang “progressive expansion” phase ng F2F classes. Sa nasabing bilang, 6,122 eskuwelahan ang nagpatuloy na sa limited in-person classes.",https://www.bulgaronline.com/post/exams-sa-mga-paaralan-pinaplano-na-ng-deped
20,"Aprub ni P-Du30... Edad ng sexual consent, itinaas sa 16   ","ni Lolet Abania  |  March 7, 2022


Nilagdaan na ni Pangulong Rodrigo Duterte bilang batas ang isang panukala hinggil sa krimen ng statutory rape at itinaas ang edad ng tinatawag na sexual consent mula sa 12-taong-gulang ay naging 16-anyos. 

Matatandaang pinagtibay ng Senado at ng House of Representatives noong Disyembre, ang bicameral conference committee report tungkol sa panukalang, “Act Increasing the Age for Determining Statutory Rape and other Acts of Sexual Abuse and Exploitation to Protect Children.” 

Ang bagong nilagdaang Republic Act 11648 ay naglalayong amyendahan ang RA 3815 o ang Revised Penal Code, RA 8353 o ang Anti-Rape Law of 1997, at RA 7610 o ang Special Protection of Children Against Abuse, Exploitation, and Discrimination Act. 

Sa nakasaad sa ilalim ng RA 11648, “there will be no criminal liability on the part of a person having carnal knowledge of another person under 16 when the age difference between the parties is not more than three years and the sexual act in question is proven to be ‘consensual, non-abusive, and non-exploitative’.” 

Nakapaloob din na ang mga bata, maging lalaki o babae ay itinuturing na ini-exploit sa prostitusyon at iba pang sexual abuse kung patuloy ang isinasagawang sexual intercourse o lascivious na may kaakibat na pera, profit, o anumang pagsasaalang-alang o dahil sa coercion o impluwensiya ng sinumang adult o matanda, sindikato, o grupo. 

Naipasok din dito ng Congress ang isang paragraph o talata, kung saan magmamandato sa Department of Education (DepEd) para isama sa basic education curriculum appropriate subjects, ang tungkol sa mga karapatan at proteksyon ng mga bata na may kaugnayan sa naturang Act. 

Una nang sinabi ni Senate blue ribbon committee chairman Senator Richard Gordon, na siyang nag-sponsored ng Senate Bill 2332, na ang Kngreso sa pamamagitan ng nasabing measure, ay may tungkulin na dapat gawin para sa mapigilan at matugunan ang nangyayaring child sexual abuse sa bansa. 

Ayon pa kay Gordon, “the right of the child to freedom from sexual abuse must be upheld.”",https://www.bulgaronline.com/post/aprub-ni-p-du30-edad-ng-sexual-consent-itinaas-sa-16
